Depth_mean,Depth_min,Depth_max,Qf,valid,slope,phasedetect,Lat,Lon,Sog,Cog,Roll,Pitch,Heave,Head
-123.07,-122.56,-124.04,2.940072475671768,100.0,0.17,88.5,46.12927725,-3.269981,6.725701949655034,158.41,0.23,0.55,0.18,159.52
-122.72,-122.01,-123.81,2.9210473453998564,100.0,0.2,88.0,46.1292193,-3.2699542,6.725701949655034,158.77,0.3,0.23,0.39,159.4
-122.56,-121.76,-123.85,2.908218786716461,100.0,0.23,87.5,46.12919065,-3.2699411,6.706263504713834,159.01,-0.11,-0.14,0.4,159.3
-122.92,-122.29,-124.26,2.92579450070858,100.0,0.25,88.0,46.1291338,-3.2699125,6.686825059772635,159.34,-0.52,0.07,0.05,159.4
-123.17,-122.26,-124.86,2.9289429557323454,100.0,0.21,89.0,46.1290766,-3.2698821,6.667386614831435,159.43,-0.57,-0.03,-0.21,159.35
-123.26,-122.78,-124.17,2.936945261955261,100.0,0.16,89.0,46.12899085,-3.2698314,6.667386614831435,159.23,-0.45,-0.39,-0.19,159.39
-123.42,-122.96,-125.1,2.9121140778064727,100.0,0.2,89.0,46.12896145,-3.269814,6.667386614831435,159.13,-0.4,-0.12,-0.31,159.48
-123.81,-123.17,-125.21,2.912746186852455,100.0,0.25,87.5,46.12890225,-3.269778,6.686825059772635,158.94,-0.36,0.17,-0.6,159.58
-123.94,-123.4,-125.02,2.923649102449417,100.0,0.13,88.5,46.12887275,-3.269759,6.706263504713834,158.79,-0.38,0.34,-0.56,159.65
-123.7,-123.1,-124.72,2.912477930188179,100.0,0.09,86.0,46.1288149,-3.269721,6.725701949655034,158.4,0.12,0.5,-0.12,159.39
-123.11,-122.57,-124.31,2.929684054851532,100.0,0.15,89.0,46.1287581,-3.2696875,6.745140394596233,158.12,0.54,0.38,0.24,159.18
-122.65,-122.09,-124.3,2.917138569355011,100.0,0.14,86.5,46.12870135,-3.2696613,6.706263504713834,158.38,0.94,-0.06,0.68,159.02
